;Australia;Austria;Belgium;Canada;Czech_Republic;Denmark;Estonia;Finland;France;Germany;Hungary;Iceland;Israel;Italy;Japan;Latvia;Luxembourg;Mexico;Netherlands;New_Zealand;Norway;Poland;Slovenia;Sweden;Switzerland;Turkey;United_States
Australia;0;261;116;2140;73;222;16;85;759;2611;55;18;129;226;4806;4;22;38;1334;7556;292;78;14;289;365;324;4103
Austria;93;0;258;115;84;154;34;47;369;9418;377;35;23;280;933;18;91;22;896;96;113;37;50;191;2860;1407;466
Belgium;206;371;0;465;58;167;58;65;6781;2829;196;31;96;425;620;7;1229;67;3669;275;124;67;23;259;1258;382;724
Canada;1676;461;517;0;117;228;16;72;1437;3490;242;44;217;238;2969;11;76;1339;1325;1523;289;150;22;360;705;1016;17827
Czech_Republic;176;1754;393;375;0;245;83;84;394;8904;78;356;0;225;771;9;72;15;1037;576;155;140;28;193;1018;0;663
Denmark;143;198;199;75;30;0;28;75;275;2184;27;135;0;147;775;6;91;10;736;142;1065;41;3;1860;344;578;427
Estonia;153;95;136;40;22;104;0;1620;30;787;11;21;0;77;147;54;44;5;348;59;208;71;3;231;120;0;179
Finland;149;390;238;110;33;293;686;0;282;1764;56;40;0;132;610;25;110;9;1224;121;471;64;6;2161;379;309;514
France;1671;1444;12038;4960;264;861;284;286;0;14486;359;178;2227;2061;6206;62;4087;517;5855;2589;712;328;53;1095;13961;1064;5292
Germany;1388;18328;2589;1520;583;2388;514;376;5700;0;2616;249;164;1835;5760;98;1003;357;11680;1835;1285;1000;79;2469;19914;9417;4956
Hungary;163;12085;702;800;1088;666;58;144;545;36714;0;124;42;522;957;7;152;21;3572;113;305;140;135;582;3079;155;1103
Iceland;12;42;47;45;1;716;3;15;1;260;6;0;0;19;34;0;2;2;149;4;302;2;5;514;64;0;76
Israel;249;178;108;1315;182;47;6;29;202;1915;226;1;0;192;196;27;14;95;385;173;29;99;11;67;159;467;4707
Italy;1871;4537;5536;1410;445;1693;282;265;14631;50408;582;142;70;0;3274;32;1978;488;9375;993;714;490;414;1267;15926;604;4397
Japan;953;503;870;1115;409;209;36;148;1531;7159;552;24;0;473;0;7;110;518;1701;1897;151;292;13;280;716;392;4467
Latvia;55;260;280;90;85;458;675;319;220;7090;28;375;0;156;114;0;85;10;1687;60;766;78;10;628;306;0;265
Luxembourg;5;183;264;15;1;10;2;1;706;2792;4;4;0;18;79;0;0;1;334;9;1;7;0;10;177;0;30
Mexico;278;383;360;3460;185;158;25;84;1246;4952;224;12;133;521;1155;6;55;0;879;251;176;297;9;269;549;166;155710
Netherlands;647;1125;7751;560;112;539;70;129;1893;8935;470;59;47;581;1429;21;220;82;0;657;463;110;40;928;1402;1216;1666
New_Zealand;14150;67;34;600;26;46;2;18;179;695;25;3;0;36;1079;3;2;18;389;0;50;14;3;93;95;0;1037
Norway;75;158;156;75;18;1429;45;82;17;1031;166;38;0;63;464;15;27;10;620;69;0;58;2;1826;198;812;364
Poland;555;4723;4296;905;810;3031;92;334;1942;128595;262;2752;24;1852;1270;34;434;48;27252;168;4958;0;44;3154;4692;418;4557
Slovenia;52;2213;135;50;41;43;10;16;51;2401;49;37;0;217;94;1;39;4;347;79;38;20;0;68;757;0;114
Sweden;338;451;346;240;105;1410;142;660;586;2730;228;67;24;224;1068;39;109;25;1247;235;1965;141;17;0;920;1188;1206
Switzerland;169;727;238;225;38;122;17;39;58;4161;153;32;67;499;654;4;74;65;728;181;124;34;11;196;0;239;542
Turkey;506;3260;2828;2830;591;414;152;717;5030;43775;1177;11;160;1111;1393;70;291;29;6593;107;1027;1697;84;2153;1966;0;5588
United_States;3559;1941;1923;10850;986;921;114;402;5472;19186;1379;259;2481;1828;24144;43;615;5030;6013;4230;1085;0;77;1433;2713;3244;276
