"","Country","Population","Area","Population_Density","GDP","Crime_Index","Safety_Index"
"1","Australia",20264082,7686850,2.6,29000,41.36,58.64
"2","Austria",8192880,83870,97.7,30000,23.73,76.27
"3","Belgium",10379067,30528,340,29100,43.98,56.02
"4","Canada",33098932,9984670,3.3,29800,39.67,60.33
"5","Chile",16134219,756950,21.3,9900,45.23,54.77
"6","Czech Republic",10235455,78866,129.8,15700,25.52,74.48
"7","Denmark",5450661,43094,126.5,31100,25.1,74.9
"8","Estonia",1324333,45226,29.3,12300,23.14,76.86
"9","Finland",5231372,338145,15.5,27400,23.32,76.68
"10","France",60876136,547030,111.3,27600,46.79,53.21
"11","Germany",82422299,357021,230.9,27600,34.81,65.19
"12","Greece",10688058,131940,81,20000,40.32,59.68
"13","Hungary",9981334,93030,107.3,13900,35.08,64.92
"14","Iceland",299388,103000,2.9,30900,23.36,76.64
"15","Ireland",4062235,70280,57.8,29600,45.43,54.57
"16","Israel",6352117,20770,305.8,19800,29.6,70.4
"17","Italy",58133509,301230,193,26700,44.26,55.74
"18","Japan",127463611,377835,337.4,28200,20.66,79.34
"19","Latvia",2274735,64589,35.2,10200,36.95,63.05
"20","Luxembourg",474413,2586,183.5,55100,33.39,66.61
"21","Mexico",107449525,1972550,54.5,9000,53.97,46.03
"22","Netherlands",16491461,41526,397.1,28600,27.62,72.38
"23","New Zealand",4076140,268680,15.2,21600,40.93,59.07
"24","Norway",4610820,323802,14.2,37800,35.43,64.57
"25","Poland",38536869,312685,123.3,11100,28.5,71.5
"26","Portugal",10605870,92391,114.8,18000,29.63,70.37
"27","Slovenia",2010347,20273,99.2,19000,21.07,78.93
"28","Spain",40397842,504782,80,22000,31.96,68.04
"29","Sweden",9016596,449964,20,26800,47.07,52.93
"30","Switzerland",7523934,41290,182.2,32700,21.6,78.4
"31","Turkey",70413958,780580,90.2,6700,39.49,60.51
"32","United Kingdom",60609153,244820,247.6,27700,43.71,56.29
"33","United States",298444215,9631420,31,37800,47.2,52.8
