"","From","To","Value"
"7513","Australia","Austria",261
"7563","Australia","Belgium",116
"7602","Australia","Canada",2140
"7622","Australia","Czech Republic",73
"7658","Australia","Denmark",222
"7715","Australia","Finland",85
"7773","Australia","France",759
"7802","Australia","Germany",2611
"7849","Australia","Hungary",55
"7899","Australia","Iceland",18
"7960","Australia","Italy",226
"8002","Australia","Japan",4806
"8035","Australia","Korea",1693
"8073","Australia","Luxembourg",22
"8111","Australia","Mexico",38
"8132","Australia","Netherlands",1334
"8190","Australia","New Zealand",7556
"8232","Australia","Norway",292
"8286","Australia","Poland",78
"8341","Australia","Spain",0
"8397","Australia","Sweden",289
"8446","Australia","Switzerland",365
"8472","Australia","Turkey",324
"8496","Australia","United Kingdom",11000
"8547","Australia","United States",4103
"8600","Australia","Estonia",16
"8629","Australia","Israel",129
"8652","Australia","Slovenia",14
"8697","Austria","Australia",93
"8734","Austria","Austria",0
"8751","Austria","Belgium",258
"8790","Austria","Canada",115
"8810","Austria","Czech Republic",84
"8849","Austria","Denmark",154
"8906","Austria","Finland",47
"8957","Austria","France",369
"8987","Austria","Germany",9418
"9046","Austria","Hungary",377
"9103","Austria","Iceland",35
"9164","Austria","Italy",280
"9206","Austria","Japan",933
"9239","Austria","Korea",102
"9277","Austria","Luxembourg",91
"9315","Austria","Mexico",22
"9336","Austria","Netherlands",896
"9394","Austria","New Zealand",96
"9436","Austria","Norway",113
"9494","Austria","Poland",37
"9512","Austria","Slovak Republic",49
"9557","Austria","Spain",0
"9613","Austria","Sweden",191
"9671","Austria","Switzerland",2860
"9706","Austria","Turkey",1407
"9753","Austria","United States",466
"9806","Austria","Estonia",34
"9835","Austria","Israel",23
"9858","Austria","Slovenia",50
"15732","Belgium","Australia",206
"15785","Belgium","Austria",371
"15843","Belgium","Canada",465
"15863","Belgium","Czech Republic",58
"15899","Belgium","Denmark",167
"15952","Belgium","Finland",65
"15998","Belgium","France",6781
"16029","Belgium","Germany",2829
"16088","Belgium","Hungary",196
