Country;Population;Area;Population_Density;GDP;Crime_Index;Safety_Index;Language
Australia;20264082;7686850;2.6;29000;41.36;58.64;English
Austria;8192880;83870;97.7;30000;23.73;76.27;German
Belgium;10379067;30528;340;29100;43.98;56.02;Dutch
Canada;33098932;9984670;3.3;29800;39.67;60.33;English
Czech_Republic;10235455;78866;129.8;15700;25.52;74.48;Czech
Denmark;5450661;43094;126.5;31100;25.1;74.9;Danish
Estonia;1324333;45226;29.3;12300;23.14;76.86;Estonian
Finland;5231372;338145;15.5;27400;23.32;76.68;Finnish
France;60876136;547030;111.3;27600;46.79;53.21;French
Germany;82422299;357021;230.9;27600;34.81;65.19;German
Hungary;9981334;93030;107.3;13900;35.08;64.92;Hungarian
Iceland;299388;103000;2.9;30900;23.36;76.64;Icelandic
Israel;6352117;20770;305.8;19800;29.6;70.4;Hebrew
Italy;58133509;301230;193;26700;44.26;55.74;Italian
Japan;127463611;377835;337.4;28200;20.66;79.34;Japanese
Latvia;2274735;64589;35.2;10200;36.95;63.05;Latvian
Luxembourg;474413;2586;183.5;55100;33.39;66.61;French
Mexico;107449525;1972550;54.5;9000;53.97;46.03;Spanish
Netherlands;16491461;41526;397.1;28600;27.62;72.38;Dutch
New_Zealand;4076140;268680;15.2;21600;40.93;59.07;English
Norway;4610820;323802;14.2;37800;35.43;64.57;Norwegian
Poland;38536869;312685;123.3;11100;28.5;71.5;Polish
Slovenia;2010347;20273;99.2;19000;21.07;78.93;Slovene
Sweden;9016596;449964;20;26800;47.07;52.93;Swedish
Switzerland;7523934;41290;182.2;32700;21.6;78.4;German
Turkey;70413958;780580;90.2;6700;39.49;60.51;Turkish
United_States;298444215;9631420;31;37800;47.2;52.8;English
